Usina	Ensaio	Tratamento	Descritivo	Repetição	#Parcela	MASSA 8m	# Perfilhos	MASSA 10 canas	Espessura (média 10 canas)	#Entrenós (média 10 canas)	Altura planta  (p.q.)	População	TCH_1 (2 linhas 8m)	TCH_2 (10 canas)	TCH_3 (média)	Pol	Fibra	Pza	PCC	AR% Caldo	AR% Cana	ATR	TAH_1	TAH_2	TAH_3
Moema	1	1	Testemunha	1	9	234.85	153	14.50	2.59	13.20	2.08	 63,753.19 	97.86	92.44	95.15	13.23	12.60	72.37	11.09	1.16	0.97	114.40	11.20	10.58	10.89
Moema	1	1	Testemunha	2	10	188.26	124	17.55	2.69	17.70	2.53	 51,669.25 	78.45	90.68	84.56	14.14	13.53	77.40	11.66	0.99	0.81	118.42	9.29	10.74	10.01
Moema	1	1	Testemunha	3	3	187.15	212	15.60	2.73	15.50	2.29	 88,337.75 	77.98	137.81	107.89	15.81	14.10	78.25	12.91	0.96	0.78	130.05	10.14	17.92	14.03
Moema	1	1	Testemunha	4	12	244.45	135	17.30	2.64	16.90	2.45	 56,252.81 	101.86	97.32	99.59	13.91	12.56	73.09	11.67	1.13	0.95	119.73	12.20	11.65	11.92
Moema	1	2	Progibb1	1	13	253.75	147	18.10	2.63	17.90	2.54	 61,253.06 	105.73	110.87	108.30	13.58	12.75	77.19	11.35	0.99	0.83	115.68	12.23	12.83	12.53
Moema	1	2	Progibb1	2	2	181.70	164	15.80	2.68	15.80	2.34	 68,336.75 	75.71	107.97	91.84	12.86	12.89	74.69	10.72	1.08	0.90	110.29	8.35	11.91	10.13
Moema	1	2	Progibb1	3	7	211.45	125	14.20	2.44	16.10	2.36	 52,085.94 	88.11	73.96	81.04	13.62	13.17	73.77	11.30	1.11	0.92	115.98	10.22	8.58	9.40
Moema	1	2	Progibb1	4	8	205.75	201	19.45	2.87	17.80	2.54	 83,754.19 	85.73	162.90	124.32	14.64	13.19	76.63	12.15	1.01	0.84	123.32	10.57	20.09	15.33
Moema	1	3	ExpertGrow	1	5	169.50	132	14.80	2.65	14.00	2.18	 55,002.75 	70.63	81.40	76.02	15.11	13.46	76.68	12.48	1.01	0.83	126.40	8.93	10.29	9.61
Moema	1	3	ExpertGrow	2	14	188.80	125	14.65	2.73	15.10	2.25	 52,085.94 	78.67	76.31	77.49	15.59	13.65	78.44	12.82	0.95	0.78	129.24	10.17	9.86	10.01
Moema	1	3	ExpertGrow	3	15	233.60	142	12.85	2.37	14.10	2.15	 59,169.63 	97.34	76.03	86.69	13.62	12.34	74.04	11.46	1.10	0.93	117.59	11.45	8.94	10.19
Moema	1	3	ExpertGrow	4	4	227.60	169	17.30	2.79	17.00	2.46	 70,420.19 	94.84	121.83	108.33	14.69	13.56	76.86	12.10	1.00	0.83	122.78	11.64	14.96	13.30
Moema	1	4	Progibb2	1	1	179.50	124	16.60	2.68	14.60	2.20	 51,669.25 	74.80	85.77	80.28	12.39	14.11	70.79	10.11	1.21	0.99	105.28	7.87	9.03	8.45
Moema	1	4	Progibb2	2	6	174.30	116	14.70	2.61	14.10	2.16	 48,335.75 	72.63	71.05	71.84	15.09	14.93	79.03	12.13	0.93	0.75	122.37	8.89	8.69	8.79
Moema	1	4	Progibb2	3	11	241.40	152	15.40	2.59	15.80	2.33	 63,336.50 	100.59	97.54	99.06	15.13	13.21	77.97	12.55	0.97	0.80	126.79	12.75	12.37	12.56
Moema	1	4	Progibb2	4	16	227.45	186	18.20	2.72	15.60	2.32	 77,503.88 	94.78	141.06	117.92	15.64	13.05	78.71	13.00	0.94	0.78	130.95	12.41	18.47	15.44
Moema	2	1	Testemunha	1	9	192.25	162	12.60	2.60	14.50	2.19	 67,503.38 	80.11	85.05	82.58	13.62	12.86	76.24	11.37	1.03	0.86	116.01	9.29	9.87	9.58
Moema	2	1	Testemunha	2	10	236.10	180	14.70	2.66	15.90	2.33	 75,003.75 	98.38	110.26	104.32	15.07	12.75	79.59	12.59	0.91	0.76	126.85	12.48	13.99	13.23
Moema	2	1	Testemunha	3	3	263.05	156	17.00	2.81	15.70	2.32	 65,003.25 	109.61	110.51	110.06	14.37	13.20	77.74	11.91	0.97	0.81	120.81	13.24	13.35	13.30
Moema	2	1	Testemunha	4	12	194.55	152	16.15	2.70	17.70	2.53	 63,336.50 	81.07	102.29	91.68	13.78	13.30	73.98	11.41	1.10	0.91	116.96	9.48	11.96	10.72
Moema	2	2	Progibb1	1	13	191.30	157	14.70	2.77	14.70	2.23	 65,419.94 	79.71	96.17	87.94	15.16	12.77	78.10	12.67	0.96	0.80	127.93	10.20	12.30	11.25
Moema	2	2	Progibb1	2	2	242.49	156	16.30	2.70	16.90	2.45	 65,003.25 	101.04	105.96	103.50	14.72	12.89	79.02	12.27	0.93	0.78	123.95	12.52	13.13	12.83
Moema	2	2	Progibb1	3	7	233.60	171	14.45	2.66	16.10	2.38	 71,253.56 	97.34	102.96	100.15	13.97	12.91	75.24	11.64	1.06	0.88	118.89	11.57	12.24	11.91
Moema	2	2	Progibb1	4	8	246.91	160	14.80	2.51	17.80	2.54	 66,670.00 	102.88	98.67	100.78	13.06	13.40	74.52	10.79	1.08	0.90	110.90	11.41	10.94	11.18
Moema	2	3	Biozyme	1	5	177.55	171	12.25	2.50	16.20	2.37	 71,253.56 	73.98	87.29	80.63	15.18	13.72	80.81	12.47	0.87	0.71	125.26	9.27	10.93	10.10
Moema	2	3	Biozyme	2	14	154.00	125	13.00	2.37	14.10	2.17	 52,085.94 	64.17	67.71	65.94	14.36	12.63	78.10	12.03	0.96	0.81	121.90	7.82	8.25	8.04
Moema	2	3	Biozyme	3	15	183.65	128	11.60	2.35	13.40	2.10	 53,336.00 	76.52	61.87	69.20	13.87	13.14	74.36	11.52	1.09	0.91	117.92	9.02	7.30	8.16
Moema	2	3	Biozyme	4	4	205.55	150	14.60	2.44	16.90	2.45	 62,503.13 	85.65	91.25	88.45	14.82	13.40	79.57	12.25	0.91	0.75	123.51	10.58	11.27	10.92
Moema	2	4	Progibb2	1	1	227.45	171	14.10	2.68	15.80	2.33	 71,253.56 	94.78	100.47	97.62	14.86	13.12	77.62	12.34	0.98	0.81	124.94	11.84	12.55	12.20
Moema	2	4	Progibb2	2	6	211.70	149	13.60	2.54	15.40	2.28	 62,086.44 	88.21	84.44	86.33	13.85	13.07	76.62	11.51	1.01	0.84	117.25	10.34	9.90	10.12
Moema	2	4	Progibb2	3	11	171.80	150	12.05	2.56	13.60	2.10	 62,503.13 	71.59	75.32	73.45	15.26	12.94	78.05	12.71	0.96	0.80	128.38	9.19	9.67	9.43
Moema	2	4	Progibb2	4	16	165.10	148	14.50	2.60	15.80	2.34	 61,669.75 	68.80	89.42	79.11	14.69	12.65	77.23	12.30	0.99	0.83	124.67	8.58	11.15	9.86
